actual,assigned,Actual,ALGO,NAÏVE,,,Error,
1,0.39098065,TRUE,TRUE,TRUE,0,0,0,
-1,0.96232693,FALSE,TRUE,TRUE,0,0,1,
1,0.88219273,TRUE,TRUE,TRUE,0,0,0,
-1,0.69701198,FALSE,TRUE,TRUE,0,0,1,
1,0.79114754,TRUE,TRUE,TRUE,0,0,0,
1,0.98573862,TRUE,TRUE,TRUE,0,0,0,
-1,1.1068294,FALSE,TRUE,TRUE,0,0,1,
1,0.81828341,TRUE,TRUE,TRUE,0,0,0,
1,1.1333195,TRUE,TRUE,TRUE,0,0,0,
1,0.98863129,TRUE,TRUE,TRUE,0,0,0,
1,0.090762492,TRUE,TRUE,TRUE,0,0,0,
1,0.81338935,TRUE,TRUE,TRUE,0,0,0,
-1,-0.7015161,FALSE,FALSE,TRUE,0,1,0,
-1,1.1145346,FALSE,TRUE,TRUE,0,0,1,
-1,0.91587569,FALSE,TRUE,TRUE,0,0,1,
1,0.87741642,TRUE,TRUE,TRUE,0,0,0,
1,1.0062014,TRUE,TRUE,TRUE,0,0,0,
1,1.004928,TRUE,TRUE,TRUE,0,0,0,
1,0.78301227,TRUE,TRUE,TRUE,0,0,0,
1,0.95410038,TRUE,TRUE,TRUE,0,0,0,
-1,0.41069684,FALSE,TRUE,TRUE,0,0,1,
1,0.96231365,TRUE,TRUE,TRUE,0,0,0,
1,0.6547887,TRUE,TRUE,TRUE,0,0,0,
1,0.68939018,TRUE,TRUE,TRUE,0,0,0,
-1,1.0758491,FALSE,TRUE,TRUE,0,0,1,
1,0.41088626,TRUE,TRUE,TRUE,0,0,0,
-1,1.0731337,FALSE,TRUE,TRUE,0,0,1,
-1,0.98896389,FALSE,TRUE,TRUE,0,0,1,
-1,1.0100191,FALSE,TRUE,TRUE,0,0,1,
-1,0.98733598,FALSE,TRUE,TRUE,0,0,1,
1,0.96922635,TRUE,TRUE,TRUE,0,0,0,
1,0.53032779,TRUE,TRUE,TRUE,0,0,0,
1,1.0187807,TRUE,TRUE,TRUE,0,0,0,
-1,0.49262639,FALSE,TRUE,TRUE,0,0,1,
1,1.0096352,TRUE,TRUE,TRUE,0,0,0,
1,-0.54340454,TRUE,FALSE,TRUE,1,0,1,
1,1.008915,TRUE,TRUE,TRUE,0,0,0,
-1,0.81109071,FALSE,TRUE,TRUE,0,0,1,
1,1.0057818,TRUE,TRUE,TRUE,0,0,0,
-1,1.0303879,FALSE,TRUE,TRUE,0,0,1,
-1,0.84738751,FALSE,TRUE,TRUE,0,0,1,
1,1.0308356,TRUE,TRUE,TRUE,0,0,0,
1,0.93072088,TRUE,TRUE,TRUE,0,0,0,
1,0.97803682,TRUE,TRUE,TRUE,0,0,0,
1,0.71137748,TRUE,TRUE,TRUE,0,0,0,
-1,0.98039842,FALSE,TRUE,TRUE,0,0,1,
1,-0.63497737,TRUE,FALSE,TRUE,1,0,1,
1,0.70703343,TRUE,TRUE,TRUE,0,0,0,
-1,0.88049286,FALSE,TRUE,TRUE,0,0,1,
1,1.0139221,TRUE,TRUE,TRUE,0,0,0,
1,0.97763356,TRUE,TRUE,TRUE,0,0,0,
-1,0.928743,FALSE,TRUE,TRUE,0,0,1,
1,1.038608,TRUE,TRUE,TRUE,0,0,0,
1,-0.89585341,TRUE,FALSE,TRUE,1,0,1,
1,1.0772308,TRUE,TRUE,TRUE,0,0,0,
-1,1.048771,FALSE,TRUE,TRUE,0,0,1,
-1,0.62914896,FALSE,TRUE,TRUE,0,0,1,
1,1.0390438,TRUE,TRUE,TRUE,0,0,0,
1,0.8539801,TRUE,TRUE,TRUE,0,0,0,
-1,0.77463416,FALSE,TRUE,TRUE,0,0,1,
1,-0.37894971,TRUE,FALSE,TRUE,1,0,1,
1,0.02931301,TRUE,TRUE,TRUE,0,0,0,
1,1.0080545,TRUE,TRUE,TRUE,0,0,0,
1,1.0186345,TRUE,TRUE,TRUE,0,0,0,
-1,1.0227879,FALSE,TRUE,TRUE,0,0,1,
1,1.0256775,TRUE,TRUE,TRUE,0,0,0,
-1,0.95064087,FALSE,TRUE,TRUE,0,0,1,
-1,0.99908322,FALSE,TRUE,TRUE,0,0,1,
1,1.1375939,TRUE,TRUE,TRUE,0,0,0,
1,1.1100632,TRUE,TRUE,TRUE,0,0,0,
1,1.0544351,TRUE,TRUE,TRUE,0,0,0,
1,1.040179,TRUE,TRUE,TRUE,0,0,0,
1,0.98139039,TRUE,TRUE,TRUE,0,0,0,
-1,0.96347653,FALSE,TRUE,TRUE,0,0,1,
-1,0.5010906,FALSE,TRUE,TRUE,0,0,1,
1,0.62460354,TRUE,TRUE,TRUE,0,0,0,
-1,0.99591292,FALSE,TRUE,TRUE,0,0,1,
1,1.0156785,TRUE,TRUE,TRUE,0,0,0,
1,0.96113563,TRUE,TRUE,TRUE,0,0,0,
1,1.0103597,TRUE,TRUE,TRUE,0,0,0,
1,-1.267557,TRUE,FALSE,TRUE,1,0,1,
1,0.81284587,TRUE,TRUE,TRUE,0,0,0,
-1,0.054544087,FALSE,TRUE,TRUE,0,0,1,
1,0.88006644,TRUE,TRUE,TRUE,0,0,0,
1,0.97499982,TRUE,TRUE,TRUE,0,0,0,
1,1.0282048,TRUE,TRUE,TRUE,0,0,0,
-1,1.003744,FALSE,TRUE,TRUE,0,0,1,
1,1.1129271,TRUE,TRUE,TRUE,0,0,0,
1,0.97572638,TRUE,TRUE,TRUE,0,0,0,
1,0.85804623,TRUE,TRUE,TRUE,0,0,0,
-1,0.93616492,FALSE,TRUE,TRUE,0,0,1,
-1,0.3031228,FALSE,TRUE,TRUE,0,0,1,
1,0.85603395,TRUE,TRUE,TRUE,0,0,0,
1,0.94809089,TRUE,TRUE,TRUE,0,0,0,
1,1.0019561,TRUE,TRUE,TRUE,0,0,0,
-1,0.86824267,FALSE,TRUE,TRUE,0,0,1,
1,0.8716437,TRUE,TRUE,TRUE,0,0,0,
-1,1.0589842,FALSE,TRUE,TRUE,0,0,1,
1,0.80500373,TRUE,TRUE,TRUE,0,0,0,
1,0.65084328,TRUE,TRUE,TRUE,0,0,0,
1,0.69103628,TRUE,TRUE,TRUE,0,0,0,
1,0.7103571,TRUE,TRUE,TRUE,0,0,0,
1,1.0417202,TRUE,TRUE,TRUE,0,0,0,
-1,1.0412737,FALSE,TRUE,TRUE,0,0,1,
-1,0.92487584,FALSE,TRUE,TRUE,0,0,1,
-1,0.99637278,FALSE,TRUE,TRUE,0,0,1,
-1,0.90163366,FALSE,TRUE,TRUE,0,0,1,
-1,1.0176509,FALSE,TRUE,TRUE,0,0,1,
1,0.89737359,TRUE,TRUE,TRUE,0,0,0,
-1,0.70617123,FALSE,TRUE,TRUE,0,0,1,
1,0.842567,TRUE,TRUE,TRUE,0,0,0,
1,0.96541984,TRUE,TRUE,TRUE,0,0,0,
-1,0.92989368,FALSE,TRUE,TRUE,0,0,1,
-1,0.78511902,FALSE,TRUE,TRUE,0,0,1,
1,0.99303741,TRUE,TRUE,TRUE,0,0,0,
1,0.40621127,TRUE,TRUE,TRUE,0,0,0,
-1,1.008437,FALSE,TRUE,TRUE,0,0,1,
1,1.0095699,TRUE,TRUE,TRUE,0,0,0,
1,0.7530514,TRUE,TRUE,TRUE,0,0,0,
1,0.97869333,TRUE,TRUE,TRUE,0,0,0,
1,0.62222775,TRUE,TRUE,TRUE,0,0,0,
1,0.89003981,TRUE,TRUE,TRUE,0,0,0,
1,1.0301979,TRUE,TRUE,TRUE,0,0,0,
-1,0.50666324,FALSE,TRUE,TRUE,0,0,1,
1,0.99999792,TRUE,TRUE,TRUE,0,0,0,
1,0.27305301,TRUE,TRUE,TRUE,0,0,0,
1,0.98323221,TRUE,TRUE,TRUE,0,0,0,
1,0.98551802,TRUE,TRUE,TRUE,0,0,0,
1,1.2027829,TRUE,TRUE,TRUE,0,0,0,
1,0.97526118,TRUE,TRUE,TRUE,0,0,0,
1,1.0365252,TRUE,TRUE,TRUE,0,0,0,
-1,1.0428171,FALSE,TRUE,TRUE,0,0,1,
1,1.0682257,TRUE,TRUE,TRUE,0,0,0,
-1,0.84949766,FALSE,TRUE,TRUE,0,0,1,
-1,0.99685141,FALSE,TRUE,TRUE,0,0,1,
1,1.0722276,TRUE,TRUE,TRUE,0,0,0,
1,0.94706172,TRUE,TRUE,TRUE,0,0,0,
1,0.99625176,TRUE,TRUE,TRUE,0,0,0,
1,0.99290186,TRUE,TRUE,TRUE,0,0,0,
1,1.0007478,TRUE,TRUE,TRUE,0,0,0,
-1,1.0377157,FALSE,TRUE,TRUE,0,0,1,
-1,0.83828957,FALSE,TRUE,TRUE,0,0,1,
1,0.85811017,TRUE,TRUE,TRUE,0,0,0,
1,0.99357192,TRUE,TRUE,TRUE,0,0,0,
1,0.50438263,TRUE,TRUE,TRUE,0,0,0,
-1,1.0258781,FALSE,TRUE,TRUE,0,0,1,
-1,0.99029038,FALSE,TRUE,TRUE,0,0,1,
-1,0.96361265,FALSE,TRUE,TRUE,0,0,1,
1,1.053135,TRUE,TRUE,TRUE,0,0,0,
1,1.0112973,TRUE,TRUE,TRUE,0,0,0,
-1,0.97235531,FALSE,TRUE,TRUE,0,0,1,
1,0.97350379,TRUE,TRUE,TRUE,0,0,0,
1,0.51986528,TRUE,TRUE,TRUE,0,0,0,
1,0.70027225,TRUE,TRUE,TRUE,0,0,0,
1,-1.5483738,TRUE,FALSE,TRUE,1,0,1,
-1,0.99573956,FALSE,TRUE,TRUE,0,0,1,
-1,0.97660094,FALSE,TRUE,TRUE,0,0,1,
-1,0.53639069,FALSE,TRUE,TRUE,0,0,1,
1,1.0653421,TRUE,TRUE,TRUE,0,0,0,
1,1.0688886,TRUE,TRUE,TRUE,0,0,0,
-1,0.98409358,FALSE,TRUE,TRUE,0,0,1,
1,1.0266968,TRUE,TRUE,TRUE,0,0,0,
1,0.94095935,TRUE,TRUE,TRUE,0,0,0,
1,0.12414603,TRUE,TRUE,TRUE,0,0,0,
1,1.0228967,TRUE,TRUE,TRUE,0,0,0,
-1,0.64529675,FALSE,TRUE,TRUE,0,0,1,
1,0.97811377,TRUE,TRUE,TRUE,0,0,0,
1,0.72687421,TRUE,TRUE,TRUE,0,0,0,
-1,1.0125703,FALSE,TRUE,TRUE,0,0,1,
1,0.77481093,TRUE,TRUE,TRUE,0,0,0,
-1,0.97316223,FALSE,TRUE,TRUE,0,0,1,
1,0.8987741,TRUE,TRUE,TRUE,0,0,0,
1,1.0479096,TRUE,TRUE,TRUE,0,0,0,
-1,0.9157732,FALSE,TRUE,TRUE,0,0,1,
1,-0.86121178,TRUE,FALSE,TRUE,1,0,1,
-1,0.50549101,FALSE,TRUE,TRUE,0,0,1,
-1,0.75209327,FALSE,TRUE,TRUE,0,0,1,
-1,0.93785992,FALSE,TRUE,TRUE,0,0,1,
-1,0.89763683,FALSE,TRUE,TRUE,0,0,1,
1,0.88492116,TRUE,TRUE,TRUE,0,0,0,
1,0.77853195,TRUE,TRUE,TRUE,0,0,0,
1,0.9788093,TRUE,TRUE,TRUE,0,0,0,
1,1.0663237,TRUE,TRUE,TRUE,0,0,0,
-1,0.98302455,FALSE,TRUE,TRUE,0,0,1,
-1,1.0622392,FALSE,TRUE,TRUE,0,0,1,
1,0.83259133,TRUE,TRUE,TRUE,0,0,0,
1,0.94000262,TRUE,TRUE,TRUE,0,0,0,
-1,0.99650484,FALSE,TRUE,TRUE,0,0,1,
1,0.8594852,TRUE,TRUE,TRUE,0,0,0,
-1,0.95034924,FALSE,TRUE,TRUE,0,0,1,
1,1.0327539,TRUE,TRUE,TRUE,0,0,0,
-1,0.95203063,FALSE,TRUE,TRUE,0,0,1,
-1,0.80499344,FALSE,TRUE,TRUE,0,0,1,
1,0.95991055,TRUE,TRUE,TRUE,0,0,0,
1,0.66437748,TRUE,TRUE,TRUE,0,0,0,
-1,0.93843271,FALSE,TRUE,TRUE,0,0,1,
1,1.0619167,TRUE,TRUE,TRUE,0,0,0,
1,0.96400441,TRUE,TRUE,TRUE,0,0,0,
1,0.9925741,TRUE,TRUE,TRUE,0,0,0,
1,0.84999405,TRUE,TRUE,TRUE,0,0,0,
1,0.77258488,TRUE,TRUE,TRUE,0,0,0,
1,1.0143876,TRUE,TRUE,TRUE,0,0,0,
1,0.99422127,TRUE,TRUE,TRUE,0,0,0,
-1,1.044337,FALSE,TRUE,TRUE,0,0,1,
1,1.0535394,TRUE,TRUE,TRUE,0,0,0,
-1,0.70119908,FALSE,TRUE,TRUE,0,0,1,
-1,-1.0205164,FALSE,FALSE,TRUE,0,1,0,
-1,0.6736031,FALSE,TRUE,TRUE,0,0,1,
-1,0.98566131,FALSE,TRUE,TRUE,0,0,1,
1,-0.65551412,TRUE,FALSE,TRUE,1,0,1,
1,1.0492228,TRUE,TRUE,TRUE,0,0,0,
-1,0.99241974,FALSE,TRUE,TRUE,0,0,1,
1,0.9897956,TRUE,TRUE,TRUE,0,0,0,
-1,0.98872807,FALSE,TRUE,TRUE,0,0,1,
1,0.96494423,TRUE,TRUE,TRUE,0,0,0,
1,0.97457261,TRUE,TRUE,TRUE,0,0,0,
1,0.53626094,TRUE,TRUE,TRUE,0,0,0,
1,0.88143115,TRUE,TRUE,TRUE,0,0,0,
-1,0.82622456,FALSE,TRUE,TRUE,0,0,1,
1,1.032805,TRUE,TRUE,TRUE,0,0,0,
1,1.0346864,TRUE,TRUE,TRUE,0,0,0,
1,1.013168,TRUE,TRUE,TRUE,0,0,0,
-1,0.89279443,FALSE,TRUE,TRUE,0,0,1,
-1,1.0401708,FALSE,TRUE,TRUE,0,0,1,
1,0.98762577,TRUE,TRUE,TRUE,0,0,0,
1,-0.16110769,TRUE,FALSE,TRUE,1,0,1,
-1,1.0460198,FALSE,TRUE,TRUE,0,0,1,
1,0.9611586,TRUE,TRUE,TRUE,0,0,0,
1,0.83247494,TRUE,TRUE,TRUE,0,0,0,
-1,0.98552837,FALSE,TRUE,TRUE,0,0,1,
1,0.64941168,TRUE,TRUE,TRUE,0,0,0,
1,0.99539007,TRUE,TRUE,TRUE,0,0,0,
1,1.0815097,TRUE,TRUE,TRUE,0,0,0,
1,0.91178128,TRUE,TRUE,TRUE,0,0,0,
-1,-0.12881394,FALSE,FALSE,TRUE,0,1,0,
1,0.73728388,TRUE,TRUE,TRUE,0,0,0,
1,0.92607356,TRUE,TRUE,TRUE,0,0,0,
1,1.0479153,TRUE,TRUE,TRUE,0,0,0,
1,0.9518672,TRUE,TRUE,TRUE,0,0,0,
-1,0.93842266,FALSE,TRUE,TRUE,0,0,1,
1,0.97281476,TRUE,TRUE,TRUE,0,0,0,
-1,1.0361507,FALSE,TRUE,TRUE,0,0,1,
-1,0.80757626,FALSE,TRUE,TRUE,0,0,1,
1,1.0365802,TRUE,TRUE,TRUE,0,0,0,
1,0.20266437,TRUE,TRUE,TRUE,0,0,0,
1,0.89604925,TRUE,TRUE,TRUE,0,0,0,
1,1.0588086,TRUE,TRUE,TRUE,0,0,0,
1,1.042801,TRUE,TRUE,TRUE,0,0,0,
1,0.55237721,TRUE,TRUE,TRUE,0,0,0,
1,0.94530567,TRUE,TRUE,TRUE,0,0,0,
-1,1.1214758,FALSE,TRUE,TRUE,0,0,1,
1,1.0056391,TRUE,TRUE,TRUE,0,0,0,
1,1.0234063,TRUE,TRUE,TRUE,0,0,0,
1,0.043220976,TRUE,TRUE,TRUE,0,0,0,
-1,0.97859647,FALSE,TRUE,TRUE,0,0,1,
1,0.74178763,TRUE,TRUE,TRUE,0,0,0,
1,1.0573428,TRUE,TRUE,TRUE,0,0,0,
1,0.84649376,TRUE,TRUE,TRUE,0,0,0,
-1,0.99421469,FALSE,TRUE,TRUE,0,0,1,
1,1.0485053,TRUE,TRUE,TRUE,0,0,0,
1,0.32359491,TRUE,TRUE,TRUE,0,0,0,
1,0.88869832,TRUE,TRUE,TRUE,0,0,0,
-1,1.0225012,FALSE,TRUE,TRUE,0,0,1,
-1,0.77837561,FALSE,TRUE,TRUE,0,0,1,
1,1.0142866,TRUE,TRUE,TRUE,0,0,0,
1,0.86358072,TRUE,TRUE,TRUE,0,0,0,
-1,0.92797442,FALSE,TRUE,TRUE,0,0,1,
1,1.0214902,TRUE,TRUE,TRUE,0,0,0,
1,0.64218139,TRUE,TRUE,TRUE,0,0,0,
1,0.74500153,TRUE,TRUE,TRUE,0,0,0,
1,0.92009509,TRUE,TRUE,TRUE,0,0,0,
1,1.0292875,TRUE,TRUE,TRUE,0,0,0,
-1,0.92448931,FALSE,TRUE,TRUE,0,0,1,
1,0.96223218,TRUE,TRUE,TRUE,0,0,0,
-1,0.45403369,FALSE,TRUE,TRUE,0,0,1,
1,-1.1384804,TRUE,FALSE,TRUE,1,0,1,
1,0.83579532,TRUE,TRUE,TRUE,0,0,0,
-1,0.9788339,FALSE,TRUE,TRUE,0,0,1,
1,1.0334358,TRUE,TRUE,TRUE,0,0,0,
1,0.66815527,TRUE,TRUE,TRUE,0,0,0,
-1,0.97016561,FALSE,TRUE,TRUE,0,0,1,
-1,0.9161897,FALSE,TRUE,TRUE,0,0,1,
1,0.98555135,TRUE,TRUE,TRUE,0,0,0,
-1,0.9753253,FALSE,TRUE,TRUE,0,0,1,
1,-0.060207953,TRUE,FALSE,TRUE,1,0,1,
1,0.90818271,TRUE,TRUE,TRUE,0,0,0,
-1,1.0147512,FALSE,TRUE,TRUE,0,0,1,
1,1.1087579,TRUE,TRUE,TRUE,0,0,0,
1,0.85643002,TRUE,TRUE,TRUE,0,0,0,
1,-0.6308462,TRUE,FALSE,TRUE,1,0,1,
1,1.0002678,TRUE,TRUE,TRUE,0,0,0,
1,0.95812406,TRUE,TRUE,TRUE,0,0,0,
1,0.99790317,TRUE,TRUE,TRUE,0,0,0,
1,0.94394497,TRUE,TRUE,TRUE,0,0,0,
-1,0.89636313,FALSE,TRUE,TRUE,0,0,1,
1,0.59320718,TRUE,TRUE,TRUE,0,0,0,
1,1.0274726,TRUE,TRUE,TRUE,0,0,0,
1,1.0796783,TRUE,TRUE,TRUE,0,0,0,
1,0.56072539,TRUE,TRUE,TRUE,0,0,0,
1,0.97525235,TRUE,TRUE,TRUE,0,0,0,
-1,0.93415924,FALSE,TRUE,TRUE,0,0,1,
1,1.03651,TRUE,TRUE,TRUE,0,0,0,
-1,1.0197625,FALSE,TRUE,TRUE,0,0,1,
1,0.98714146,TRUE,TRUE,TRUE,0,0,0,
1,1.0439498,TRUE,TRUE,TRUE,0,0,0,
1,0.71121559,TRUE,TRUE,TRUE,0,0,0,
1,1.0612911,TRUE,TRUE,TRUE,0,0,0,
1,0.085317788,TRUE,TRUE,TRUE,0,0,0,
1,0.89183247,TRUE,TRUE,TRUE,0,0,0,
1,1.0268021,TRUE,TRUE,TRUE,0,0,0,
1,1.050748,TRUE,TRUE,TRUE,0,0,0,
1,0.70761072,TRUE,TRUE,TRUE,0,0,0,
1,0.9847632,TRUE,TRUE,TRUE,0,0,0,
-1,1.0586371,FALSE,TRUE,TRUE,0,0,1,
1,0.44124059,TRUE,TRUE,TRUE,0,0,0,
-1,0.98849595,FALSE,TRUE,TRUE,0,0,1,
-1,1.0504579,FALSE,TRUE,TRUE,0,0,1,
1,1.0257781,TRUE,TRUE,TRUE,0,0,0,
-1,0.93888272,FALSE,TRUE,TRUE,0,0,1,
1,0.99362128,TRUE,TRUE,TRUE,0,0,0,
1,0.98525051,TRUE,TRUE,TRUE,0,0,0,
1,0.98056246,TRUE,TRUE,TRUE,0,0,0,
-1,0.38919145,FALSE,TRUE,TRUE,0,0,1,
1,-1.4741905,TRUE,FALSE,TRUE,1,0,1,
-1,-0.58873996,FALSE,FALSE,TRUE,0,1,0,
-1,0.93555315,FALSE,TRUE,TRUE,0,0,1,
-1,0.91996628,FALSE,TRUE,TRUE,0,0,1,
1,0.98969162,TRUE,TRUE,TRUE,0,0,0,
1,1.0115144,TRUE,TRUE,TRUE,0,0,0,
1,0.86477195,TRUE,TRUE,TRUE,0,0,0,
-1,0.25645173,FALSE,TRUE,TRUE,0,0,1,
1,1.0416366,TRUE,TRUE,TRUE,0,0,0,
1,1.0183332,TRUE,TRUE,TRUE,0,0,0,
-1,1.0004217,FALSE,TRUE,TRUE,0,0,1,
1,1.017269,TRUE,TRUE,TRUE,0,0,0,
1,1.0457704,TRUE,TRUE,TRUE,0,0,0,
-1,1.0297483,FALSE,TRUE,TRUE,0,0,1,
1,1.0420745,TRUE,TRUE,TRUE,0,0,0,
1,1.0410342,TRUE,TRUE,TRUE,0,0,0,
1,0.93835763,TRUE,TRUE,TRUE,0,0,0,
-1,0.5422598,FALSE,TRUE,TRUE,0,0,1,
1,0.80817702,TRUE,TRUE,TRUE,0,0,0,
1,1.0611695,TRUE,TRUE,TRUE,0,0,0,
-1,0.80673905,FALSE,TRUE,TRUE,0,0,1,
1,0.9366623,TRUE,TRUE,TRUE,0,0,0,
1,0.68984325,TRUE,TRUE,TRUE,0,0,0,
-1,0.92720986,FALSE,TRUE,TRUE,0,0,1,
-1,-0.44835455,FALSE,FALSE,TRUE,0,1,0,
1,0.95295053,TRUE,TRUE,TRUE,0,0,0,
1,0.98333836,TRUE,TRUE,TRUE,0,0,0,
1,0.80074064,TRUE,TRUE,TRUE,0,0,0,
1,0.96722295,TRUE,TRUE,TRUE,0,0,0,
1,0.96852363,TRUE,TRUE,TRUE,0,0,0,
-1,0.22500774,FALSE,TRUE,TRUE,0,0,1,
1,1.0488715,TRUE,TRUE,TRUE,0,0,0,
1,0.95163621,TRUE,TRUE,TRUE,0,0,0,
1,0.98583469,TRUE,TRUE,TRUE,0,0,0,
-1,0.88760776,FALSE,TRUE,TRUE,0,0,1,
1,0.98080408,TRUE,TRUE,TRUE,0,0,0,
-1,0.98383669,FALSE,TRUE,TRUE,0,0,1,
1,1.0222515,TRUE,TRUE,TRUE,0,0,0,
1,-0.56493958,TRUE,FALSE,TRUE,1,0,1,
1,0.38186453,TRUE,TRUE,TRUE,0,0,0,
1,0.8621915,TRUE,TRUE,TRUE,0,0,0,
-1,0.92633235,FALSE,TRUE,TRUE,0,0,1,
1,0.94148676,TRUE,TRUE,TRUE,0,0,0,
-1,1.0385329,FALSE,TRUE,TRUE,0,0,1,
-1,0.91987673,FALSE,TRUE,TRUE,0,0,1,
1,0.88729353,TRUE,TRUE,TRUE,0,0,0,
1,1.014774,TRUE,TRUE,TRUE,0,0,0,
1,0.95882397,TRUE,TRUE,TRUE,0,0,0,
1,0.76785458,TRUE,TRUE,TRUE,0,0,0,
1,0.95712686,TRUE,TRUE,TRUE,0,0,0,
-1,1.0087666,FALSE,TRUE,TRUE,0,0,1,
1,1.0461051,TRUE,TRUE,TRUE,0,0,0,
-1,0.82598014,FALSE,TRUE,TRUE,0,0,1,
1,1.0040179,TRUE,TRUE,TRUE,0,0,0,
1,1.013712,TRUE,TRUE,TRUE,0,0,0,
-1,1.0229612,FALSE,TRUE,TRUE,0,0,1,
-1,0.84450586,FALSE,TRUE,TRUE,0,0,1,
1,1.0115084,TRUE,TRUE,TRUE,0,0,0,
-1,1.1119558,FALSE,TRUE,TRUE,0,0,1,
1,1.0103139,TRUE,TRUE,TRUE,0,0,0,
1,0.98738858,TRUE,TRUE,TRUE,0,0,0,
