actual,assigned,Actual,ALGO,NAÏVE,,,Error
1,0.69414736,TRUE,TRUE,TRUE,0,0,0
-1,-0.65090192,FALSE,FALSE,TRUE,0,1,0
1,-0.72266428,TRUE,FALSE,TRUE,1,0,1
-1,-0.43900578,FALSE,FALSE,TRUE,0,1,0
-1,0.060948529,FALSE,TRUE,TRUE,0,0,1
1,-0.35463901,TRUE,FALSE,TRUE,1,0,1
1,-0.6320528,TRUE,FALSE,TRUE,1,0,1
1,0.28307102,TRUE,TRUE,TRUE,0,0,0
-1,-0.56482262,FALSE,FALSE,TRUE,0,1,0
1,-0.014343663,TRUE,FALSE,TRUE,1,0,1
1,0.58988307,TRUE,TRUE,TRUE,0,0,0
1,-1.1555955,TRUE,FALSE,TRUE,1,0,1
1,1.7459776,TRUE,TRUE,TRUE,0,0,0
-1,-0.83222536,FALSE,FALSE,TRUE,0,1,0
1,-0.62636073,TRUE,FALSE,TRUE,1,0,1
-1,-0.41944209,FALSE,FALSE,TRUE,0,1,0
1,-1.4294136,TRUE,FALSE,TRUE,1,0,1
1,0.61150892,TRUE,TRUE,TRUE,0,0,0
-1,-0.25766148,FALSE,FALSE,TRUE,0,1,0
1,-0.19870559,TRUE,FALSE,TRUE,1,0,1
1,-0.064088396,TRUE,FALSE,TRUE,1,0,1
1,-1.0874057,TRUE,FALSE,TRUE,1,0,1
1,-0.91728411,TRUE,FALSE,TRUE,1,0,1
1,1.1495986,TRUE,TRUE,TRUE,0,0,0
-1,0.29524154,FALSE,TRUE,TRUE,0,0,1
-1,-1.1490772,FALSE,FALSE,TRUE,0,1,0
-1,0.55766063,FALSE,TRUE,TRUE,0,0,1
1,0.6345421,TRUE,TRUE,TRUE,0,0,0
1,-0.40469758,TRUE,FALSE,TRUE,1,0,1
1,0.67034076,TRUE,TRUE,TRUE,0,0,0
1,-0.10730744,TRUE,FALSE,TRUE,1,0,1
1,-1.3646231,TRUE,FALSE,TRUE,1,0,1
-1,-0.6413485,FALSE,FALSE,TRUE,0,1,0
1,-1.1722484,TRUE,FALSE,TRUE,1,0,1
1,-0.11204669,TRUE,FALSE,TRUE,1,0,1
1,-1.1362619,TRUE,FALSE,TRUE,1,0,1
-1,0.049222849,FALSE,TRUE,TRUE,0,0,1
1,0.67327785,TRUE,TRUE,TRUE,0,0,0
-1,0.73980795,FALSE,TRUE,TRUE,0,0,1
-1,-1.1188921,FALSE,FALSE,TRUE,0,1,0
-1,-0.61030249,FALSE,FALSE,TRUE,0,1,0
-1,-0.79264457,FALSE,FALSE,TRUE,0,1,0
1,-3.0452547,TRUE,FALSE,TRUE,1,0,1
1,-0.1390044,TRUE,FALSE,TRUE,1,0,1
1,-0.36693023,TRUE,FALSE,TRUE,1,0,1
-1,-0.43729804,FALSE,FALSE,TRUE,0,1,0
1,0.26518096,TRUE,TRUE,TRUE,0,0,0
1,-1.4234377,TRUE,FALSE,TRUE,1,0,1
1,0.30854442,TRUE,TRUE,TRUE,0,0,0
-1,0.57939269,FALSE,TRUE,TRUE,0,0,1
1,0.48393977,TRUE,TRUE,TRUE,0,0,0
-1,-0.5234562,FALSE,FALSE,TRUE,0,1,0
-1,0.95715589,FALSE,TRUE,TRUE,0,0,1
1,0.31257505,TRUE,TRUE,TRUE,0,0,0
1,0.33247964,TRUE,TRUE,TRUE,0,0,0
1,-1.3387075,TRUE,FALSE,TRUE,1,0,1
1,0.82297415,TRUE,TRUE,TRUE,0,0,0
-1,0.73861298,FALSE,TRUE,TRUE,0,0,1
1,-0.7107036,TRUE,FALSE,TRUE,1,0,1
1,0.66406532,TRUE,TRUE,TRUE,0,0,0
-1,-0.35123188,FALSE,FALSE,TRUE,0,1,0
1,0.19054683,TRUE,TRUE,TRUE,0,0,0
1,0.63169965,TRUE,TRUE,TRUE,0,0,0
-1,-0.26582967,FALSE,FALSE,TRUE,0,1,0
1,0.15402999,TRUE,TRUE,TRUE,0,0,0
1,-1.0015539,TRUE,FALSE,TRUE,1,0,1
1,-0.31616418,TRUE,FALSE,TRUE,1,0,1
-1,-0.38323672,FALSE,FALSE,TRUE,0,1,0
-1,-0.59891594,FALSE,FALSE,TRUE,0,1,0
1,1.2423329,TRUE,TRUE,TRUE,0,0,0
1,-1.1756297,TRUE,FALSE,TRUE,1,0,1
-1,-0.85869345,FALSE,FALSE,TRUE,0,1,0
1,-1.4562368,TRUE,FALSE,TRUE,1,0,1
1,0.7998841,TRUE,TRUE,TRUE,0,0,0
1,-0.48828914,TRUE,FALSE,TRUE,1,0,1
1,-0.55228802,TRUE,FALSE,TRUE,1,0,1
-1,0.54388911,FALSE,TRUE,TRUE,0,0,1
1,-0.27468428,TRUE,FALSE,TRUE,1,0,1
-1,-0.007259489,FALSE,FALSE,TRUE,0,1,0
-1,-0.097011999,FALSE,FALSE,TRUE,0,1,0
1,-0.32953219,TRUE,FALSE,TRUE,1,0,1
1,-0.6635095,TRUE,FALSE,TRUE,1,0,1
1,0.11147857,TRUE,TRUE,TRUE,0,0,0
1,-1.598328,TRUE,FALSE,TRUE,1,0,1
1,0.089602088,TRUE,TRUE,TRUE,0,0,0
-1,-0.11823861,FALSE,FALSE,TRUE,0,1,0
-1,-1.1132226,FALSE,FALSE,TRUE,0,1,0
1,-0.43428089,TRUE,FALSE,TRUE,1,0,1
-1,-1.8067441,FALSE,FALSE,TRUE,0,1,0
1,0.91150869,TRUE,TRUE,TRUE,0,0,0
1,0.82043826,TRUE,TRUE,TRUE,0,0,0
1,-0.33698686,TRUE,FALSE,TRUE,1,0,1
1,-0.37626254,TRUE,FALSE,TRUE,1,0,1
1,-0.99259846,TRUE,FALSE,TRUE,1,0,1
-1,0.088959915,FALSE,TRUE,TRUE,0,0,1
1,-0.78512486,TRUE,FALSE,TRUE,1,0,1
1,-0.67172104,TRUE,FALSE,TRUE,1,0,1
1,-0.3918063,TRUE,FALSE,TRUE,1,0,1
-1,-0.47551688,FALSE,FALSE,TRUE,0,1,0
1,-0.99996345,TRUE,FALSE,TRUE,1,0,1
1,-0.66746624,TRUE,FALSE,TRUE,1,0,1
1,-0.57633503,TRUE,FALSE,TRUE,1,0,1
-1,0.9228401,FALSE,TRUE,TRUE,0,0,1
-1,-0.39363778,FALSE,FALSE,TRUE,0,1,0
1,1.0064452,TRUE,TRUE,TRUE,0,0,0
1,-0.54259971,TRUE,FALSE,TRUE,1,0,1
1,0.11135738,TRUE,TRUE,TRUE,0,0,0
-1,-1.1891095,FALSE,FALSE,TRUE,0,1,0
1,0.18851194,TRUE,TRUE,TRUE,0,0,0
-1,-0.5189361,FALSE,FALSE,TRUE,0,1,0
1,0.14659884,TRUE,TRUE,TRUE,0,0,0
1,-1.3073944,TRUE,FALSE,TRUE,1,0,1
1,-0.10308406,TRUE,FALSE,TRUE,1,0,1
1,-0.26417587,TRUE,FALSE,TRUE,1,0,1
1,-0.42903983,TRUE,FALSE,TRUE,1,0,1
-1,-1.1559658,FALSE,FALSE,TRUE,0,1,0
-1,-0.50606664,FALSE,FALSE,TRUE,0,1,0
-1,-1.542787,FALSE,FALSE,TRUE,0,1,0
-1,-0.23115315,FALSE,FALSE,TRUE,0,1,0
-1,-0.67518307,FALSE,FALSE,TRUE,0,1,0
1,-1.0858973,TRUE,FALSE,TRUE,1,0,1
-1,-1.1019165,FALSE,FALSE,TRUE,0,1,0
1,-1.3325882,TRUE,FALSE,TRUE,1,0,1
1,-1.3866756,TRUE,FALSE,TRUE,1,0,1
-1,-0.085633531,FALSE,FALSE,TRUE,0,1,0
-1,-0.32589429,FALSE,FALSE,TRUE,0,1,0
1,-0.53164017,TRUE,FALSE,TRUE,1,0,1
1,0.51007222,TRUE,TRUE,TRUE,0,0,0
-1,-1.3145581,FALSE,FALSE,TRUE,0,1,0
1,0.88497675,TRUE,TRUE,TRUE,0,0,0
1,-0.21180743,TRUE,FALSE,TRUE,1,0,1
1,-1.7027319,TRUE,FALSE,TRUE,1,0,1
1,0.11478632,TRUE,TRUE,TRUE,0,0,0
1,0.40705166,TRUE,TRUE,TRUE,0,0,0
1,-1.5170682,TRUE,FALSE,TRUE,1,0,1
-1,0.53459066,FALSE,TRUE,TRUE,0,0,1
1,-0.97577668,TRUE,FALSE,TRUE,1,0,1
1,-0.38681512,TRUE,FALSE,TRUE,1,0,1
1,-0.84005723,TRUE,FALSE,TRUE,1,0,1
1,0.47089032,TRUE,TRUE,TRUE,0,0,0
1,-1.3638294,TRUE,FALSE,TRUE,1,0,1
1,-0.58642173,TRUE,FALSE,TRUE,1,0,1
1,-0.76252388,TRUE,FALSE,TRUE,1,0,1
-1,-0.50719525,FALSE,FALSE,TRUE,0,1,0
1,-1.2659876,TRUE,FALSE,TRUE,1,0,1
-1,-0.65050632,FALSE,FALSE,TRUE,0,1,0
-1,-0.78753094,FALSE,FALSE,TRUE,0,1,0
1,-0.50158648,TRUE,FALSE,TRUE,1,0,1
1,-1.3082321,TRUE,FALSE,TRUE,1,0,1
1,-0.94988969,TRUE,FALSE,TRUE,1,0,1
1,-0.86985087,TRUE,FALSE,TRUE,1,0,1
1,-1.1181289,TRUE,FALSE,TRUE,1,0,1
-1,-1.3288946,FALSE,FALSE,TRUE,0,1,0
-1,-1.3941827,FALSE,FALSE,TRUE,0,1,0
1,-0.51806627,TRUE,FALSE,TRUE,1,0,1
1,0.80251504,TRUE,TRUE,TRUE,0,0,0
1,0.72404771,TRUE,TRUE,TRUE,0,0,0
-1,-0.64177386,FALSE,FALSE,TRUE,0,1,0
-1,-0.84200068,FALSE,FALSE,TRUE,0,1,0
-1,-0.58029699,FALSE,FALSE,TRUE,0,1,0
1,1.3283746,TRUE,TRUE,TRUE,0,0,0
1,-1.0822069,TRUE,FALSE,TRUE,1,0,1
-1,-0.003077653,FALSE,FALSE,TRUE,0,1,0
1,-0.45703384,TRUE,FALSE,TRUE,1,0,1
1,-1.1240048,TRUE,FALSE,TRUE,1,0,1
1,0.11198072,TRUE,TRUE,TRUE,0,0,0
1,-0.044904487,TRUE,FALSE,TRUE,1,0,1
-1,-1.3480047,FALSE,FALSE,TRUE,0,1,0
-1,-0.7375572,FALSE,FALSE,TRUE,0,1,0
-1,-0.21423337,FALSE,FALSE,TRUE,0,1,0
1,-0.73713066,TRUE,FALSE,TRUE,1,0,1
1,-0.005327248,TRUE,FALSE,TRUE,1,0,1
-1,-1.6065189,FALSE,FALSE,TRUE,0,1,0
1,-0.19485704,TRUE,FALSE,TRUE,1,0,1
1,-1.1380383,TRUE,FALSE,TRUE,1,0,1
1,-0.82718546,TRUE,FALSE,TRUE,1,0,1
1,-1.1460902,TRUE,FALSE,TRUE,1,0,1
-1,1.6640694,FALSE,TRUE,TRUE,0,0,1
1,0.83427468,TRUE,TRUE,TRUE,0,0,0
1,-0.75150804,TRUE,FALSE,TRUE,1,0,1
-1,-1.147124,FALSE,FALSE,TRUE,0,1,0
1,-0.11323239,TRUE,FALSE,TRUE,1,0,1
-1,-1.3741338,FALSE,FALSE,TRUE,0,1,0
1,-0.64848442,TRUE,FALSE,TRUE,1,0,1
1,-1.3369053,TRUE,FALSE,TRUE,1,0,1
-1,-0.48304205,FALSE,FALSE,TRUE,0,1,0
1,-0.47564964,TRUE,FALSE,TRUE,1,0,1
-1,-1.1770406,FALSE,FALSE,TRUE,0,1,0
-1,0.57708004,FALSE,TRUE,TRUE,0,0,1
-1,-0.96195778,FALSE,FALSE,TRUE,0,1,0
-1,0.7655171,FALSE,TRUE,TRUE,0,0,1
1,0.3079984,TRUE,TRUE,TRUE,0,0,0
1,0.056406864,TRUE,TRUE,TRUE,0,0,0
1,-0.94558856,TRUE,FALSE,TRUE,1,0,1
1,-0.068155914,TRUE,FALSE,TRUE,1,0,1
-1,-0.55267663,FALSE,FALSE,TRUE,0,1,0
-1,0.84871712,FALSE,TRUE,TRUE,0,0,1
1,0.55893822,TRUE,TRUE,TRUE,0,0,0
1,-1.1147168,TRUE,FALSE,TRUE,1,0,1
-1,0.73393563,FALSE,TRUE,TRUE,0,0,1
1,-1.117295,TRUE,FALSE,TRUE,1,0,1
-1,-0.43042935,FALSE,FALSE,TRUE,0,1,0
1,-0.012235231,TRUE,FALSE,TRUE,1,0,1
-1,-1.1546493,FALSE,FALSE,TRUE,0,1,0
-1,-0.2368795,FALSE,FALSE,TRUE,0,1,0
1,0.46531061,TRUE,TRUE,TRUE,0,0,0
1,0.15019342,TRUE,TRUE,TRUE,0,0,0
-1,0.33743956,FALSE,TRUE,TRUE,0,0,1
1,-0.46213317,TRUE,FALSE,TRUE,1,0,1
1,-1.6951503,TRUE,FALSE,TRUE,1,0,1
1,0.41869044,TRUE,TRUE,TRUE,0,0,0
1,-1.0592042,TRUE,FALSE,TRUE,1,0,1
1,-1.3594988,TRUE,FALSE,TRUE,1,0,1
1,1.7798703,TRUE,TRUE,TRUE,0,0,0
1,-0.4657321,TRUE,FALSE,TRUE,1,0,1
-1,-0.33473766,FALSE,FALSE,TRUE,0,1,0
1,-0.40022879,TRUE,FALSE,TRUE,1,0,1
-1,-0.22081177,FALSE,FALSE,TRUE,0,1,0
-1,-0.30307793,FALSE,FALSE,TRUE,0,1,0
-1,-1.089145,FALSE,FALSE,TRUE,0,1,0
-1,-0.45550389,FALSE,FALSE,TRUE,0,1,0
1,-0.55176196,TRUE,FALSE,TRUE,1,0,1
1,-0.21873707,TRUE,FALSE,TRUE,1,0,1
-1,-0.11785199,FALSE,FALSE,TRUE,0,1,0
1,-1.4118185,TRUE,FALSE,TRUE,1,0,1
-1,-0.13204882,FALSE,FALSE,TRUE,0,1,0
1,0.31979915,TRUE,TRUE,TRUE,0,0,0
1,-0.35867721,TRUE,FALSE,TRUE,1,0,1
1,-1.1950134,TRUE,FALSE,TRUE,1,0,1
1,-0.30176041,TRUE,FALSE,TRUE,1,0,1
-1,0.15801825,FALSE,TRUE,TRUE,0,0,1
1,-1.0139162,TRUE,FALSE,TRUE,1,0,1
1,-1.1792126,TRUE,FALSE,TRUE,1,0,1
1,0.36866173,TRUE,TRUE,TRUE,0,0,0
-1,0.41622388,FALSE,TRUE,TRUE,0,0,1
-1,-0.14990474,FALSE,FALSE,TRUE,0,1,0
1,-0.65306967,TRUE,FALSE,TRUE,1,0,1
1,-1.5070442,TRUE,FALSE,TRUE,1,0,1
-1,0.39370459,FALSE,TRUE,TRUE,0,0,1
1,-0.027322097,TRUE,FALSE,TRUE,1,0,1
1,0.061023152,TRUE,TRUE,TRUE,0,0,0
-1,-0.055832377,FALSE,FALSE,TRUE,0,1,0
1,-1.1200134,TRUE,FALSE,TRUE,1,0,1
1,-0.49864813,TRUE,FALSE,TRUE,1,0,1
1,-0.093198594,TRUE,FALSE,TRUE,1,0,1
1,-0.26291767,TRUE,FALSE,TRUE,1,0,1
-1,-0.89706999,FALSE,FALSE,TRUE,0,1,0
1,-0.8690228,TRUE,FALSE,TRUE,1,0,1
1,-0.86640796,TRUE,FALSE,TRUE,1,0,1
1,-1.0669834,TRUE,FALSE,TRUE,1,0,1
1,-1.2637971,TRUE,FALSE,TRUE,1,0,1
-1,-0.49533904,FALSE,FALSE,TRUE,0,1,0
1,-1.3113251,TRUE,FALSE,TRUE,1,0,1
-1,-2.183345,FALSE,FALSE,TRUE,0,1,0
-1,-0.065600341,FALSE,FALSE,TRUE,0,1,0
1,-1.2792939,TRUE,FALSE,TRUE,1,0,1
1,-0.35205602,TRUE,FALSE,TRUE,1,0,1
1,0.31899738,TRUE,TRUE,TRUE,0,0,0
1,1.3079894,TRUE,TRUE,TRUE,0,0,0
1,-0.74630841,TRUE,FALSE,TRUE,1,0,1
1,0.41594078,TRUE,TRUE,TRUE,0,0,0
1,0.78715385,TRUE,TRUE,TRUE,0,0,0
-1,-0.5297944,FALSE,FALSE,TRUE,0,1,0
1,-0.9505307,TRUE,FALSE,TRUE,1,0,1
1,-0.56733946,TRUE,FALSE,TRUE,1,0,1
1,1.0648884,TRUE,TRUE,TRUE,0,0,0
-1,-0.13915596,FALSE,FALSE,TRUE,0,1,0
1,-0.9284193,TRUE,FALSE,TRUE,1,0,1
1,-0.37735713,TRUE,FALSE,TRUE,1,0,1
1,-0.49164198,TRUE,FALSE,TRUE,1,0,1
-1,0.29232026,FALSE,TRUE,TRUE,0,0,1
1,-0.16846031,TRUE,FALSE,TRUE,1,0,1
1,-0.56840827,TRUE,FALSE,TRUE,1,0,1
1,0.094770986,TRUE,TRUE,TRUE,0,0,0
-1,0.054528954,FALSE,TRUE,TRUE,0,0,1
-1,-1.0432611,FALSE,FALSE,TRUE,0,1,0
1,-0.64602626,TRUE,FALSE,TRUE,1,0,1
1,0.62514526,TRUE,TRUE,TRUE,0,0,0
-1,0.010754876,FALSE,TRUE,TRUE,0,0,1
1,-0.14049086,TRUE,FALSE,TRUE,1,0,1
1,0.70019034,TRUE,TRUE,TRUE,0,0,0
1,-0.66703021,TRUE,FALSE,TRUE,1,0,1
1,-1.2733732,TRUE,FALSE,TRUE,1,0,1
1,0.18070036,TRUE,TRUE,TRUE,0,0,0
-1,-1.1195054,FALSE,FALSE,TRUE,0,1,0
1,-1.1343406,TRUE,FALSE,TRUE,1,0,1
-1,-0.45101788,FALSE,FALSE,TRUE,0,1,0
1,-0.35267127,TRUE,FALSE,TRUE,1,0,1
1,-1.3719806,TRUE,FALSE,TRUE,1,0,1
-1,0.40957072,FALSE,TRUE,TRUE,0,0,1
1,-1.1090636,TRUE,FALSE,TRUE,1,0,1
1,-1.5141731,TRUE,FALSE,TRUE,1,0,1
-1,-0.59798587,FALSE,FALSE,TRUE,0,1,0
-1,-0.44714759,FALSE,FALSE,TRUE,0,1,0
1,0.46688671,TRUE,TRUE,TRUE,0,0,0
-1,-0.10991727,FALSE,FALSE,TRUE,0,1,0
1,-1.1226647,TRUE,FALSE,TRUE,1,0,1
1,-1.0895146,TRUE,FALSE,TRUE,1,0,1
-1,0.3767589,FALSE,TRUE,TRUE,0,0,1
1,-1.6431674,TRUE,FALSE,TRUE,1,0,1
1,-1.575702,TRUE,FALSE,TRUE,1,0,1
1,0.22439691,TRUE,TRUE,TRUE,0,0,0
1,-1.4027082,TRUE,FALSE,TRUE,1,0,1
1,-0.30622425,TRUE,FALSE,TRUE,1,0,1
1,-0.69855311,TRUE,FALSE,TRUE,1,0,1
1,-0.95655898,TRUE,FALSE,TRUE,1,0,1
-1,0.041548598,FALSE,TRUE,TRUE,0,0,1
1,0.92318,TRUE,TRUE,TRUE,0,0,0
1,-0.83709591,TRUE,FALSE,TRUE,1,0,1
1,-1.6395254,TRUE,FALSE,TRUE,1,0,1
1,-1.2713294,TRUE,FALSE,TRUE,1,0,1
1,-1.2027555,TRUE,FALSE,TRUE,1,0,1
-1,0.4835547,FALSE,TRUE,TRUE,0,0,1
1,0.9136895,TRUE,TRUE,TRUE,0,0,0
-1,0.32737551,FALSE,TRUE,TRUE,0,0,1
1,0.67525062,TRUE,TRUE,TRUE,0,0,0
1,0.57002728,TRUE,TRUE,TRUE,0,0,0
1,0.6434905,TRUE,TRUE,TRUE,0,0,0
1,1.146889,TRUE,TRUE,TRUE,0,0,0
1,-0.11587531,TRUE,FALSE,TRUE,1,0,1
1,0.15816362,TRUE,TRUE,TRUE,0,0,0
1,-0.62434735,TRUE,FALSE,TRUE,1,0,1
1,0.50892888,TRUE,TRUE,TRUE,0,0,0
1,-0.71474669,TRUE,FALSE,TRUE,1,0,1
1,-0.58871159,TRUE,FALSE,TRUE,1,0,1
-1,-0.16391404,FALSE,FALSE,TRUE,0,1,0
1,-1.0037195,TRUE,FALSE,TRUE,1,0,1
-1,-0.40279427,FALSE,FALSE,TRUE,0,1,0
-1,-0.62320501,FALSE,FALSE,TRUE,0,1,0
1,-0.35323038,TRUE,FALSE,TRUE,1,0,1
-1,0.004250245,FALSE,TRUE,TRUE,0,0,1
1,-1.487434,TRUE,FALSE,TRUE,1,0,1
1,0.29483946,TRUE,TRUE,TRUE,0,0,0
1,-0.11446802,TRUE,FALSE,TRUE,1,0,1
-1,-1.5606387,FALSE,FALSE,TRUE,0,1,0
1,-0.86468641,TRUE,FALSE,TRUE,1,0,1
-1,-0.8564807,FALSE,FALSE,TRUE,0,1,0
-1,-0.46532421,FALSE,FALSE,TRUE,0,1,0
-1,-2.5549196,FALSE,FALSE,TRUE,0,1,0
1,-1.2649461,TRUE,FALSE,TRUE,1,0,1
1,0.66352733,TRUE,TRUE,TRUE,0,0,0
1,-0.39658939,TRUE,FALSE,TRUE,1,0,1
-1,-0.39843306,FALSE,FALSE,TRUE,0,1,0
1,-0.18512933,TRUE,FALSE,TRUE,1,0,1
1,-0.64999678,TRUE,FALSE,TRUE,1,0,1
-1,-0.69617436,FALSE,FALSE,TRUE,0,1,0
1,0.6602724,TRUE,TRUE,TRUE,0,0,0
1,1.0137888,TRUE,TRUE,TRUE,0,0,0
-1,-0.78325064,FALSE,FALSE,TRUE,0,1,0
1,0.009847826,TRUE,TRUE,TRUE,0,0,0
1,-0.85458161,TRUE,FALSE,TRUE,1,0,1
1,0.69087704,TRUE,TRUE,TRUE,0,0,0
-1,-0.039064243,FALSE,FALSE,TRUE,0,1,0
1,0.76374535,TRUE,TRUE,TRUE,0,0,0
1,0.36160543,TRUE,TRUE,TRUE,0,0,0
-1,-0.61196826,FALSE,FALSE,TRUE,0,1,0
1,0.30572335,TRUE,TRUE,TRUE,0,0,0
1,0.80004335,TRUE,TRUE,TRUE,0,0,0
-1,0.24896041,FALSE,TRUE,TRUE,0,0,1
-1,0.018824789,FALSE,TRUE,TRUE,0,0,1
1,-1.3205086,TRUE,FALSE,TRUE,1,0,1
1,0.6092946,TRUE,TRUE,TRUE,0,0,0
1,-0.18219268,TRUE,FALSE,TRUE,1,0,1
1,-0.54265926,TRUE,FALSE,TRUE,1,0,1
1,-0.75561521,TRUE,FALSE,TRUE,1,0,1
-1,-0.66854701,FALSE,FALSE,TRUE,0,1,0
1,-1.1757987,TRUE,FALSE,TRUE,1,0,1
1,0.53592685,TRUE,TRUE,TRUE,0,0,0
1,0.5457009,TRUE,TRUE,TRUE,0,0,0
-1,-0.31364379,FALSE,FALSE,TRUE,0,1,0
1,0.1782173,TRUE,TRUE,TRUE,0,0,0
-1,-0.04520328,FALSE,FALSE,TRUE,0,1,0
1,-0.17909286,TRUE,FALSE,TRUE,1,0,1
1,0.71637026,TRUE,TRUE,TRUE,0,0,0
1,0.86790968,TRUE,TRUE,TRUE,0,0,0
1,1.0314148,TRUE,TRUE,TRUE,0,0,0
-1,-1.1906819,FALSE,FALSE,TRUE,0,1,0
1,-0.35493235,TRUE,FALSE,TRUE,1,0,1
-1,-0.58157537,FALSE,FALSE,TRUE,0,1,0
-1,0.24694044,FALSE,TRUE,TRUE,0,0,1
1,0.22726506,TRUE,TRUE,TRUE,0,0,0
1,0.3864709,TRUE,TRUE,TRUE,0,0,0
1,-0.79362984,TRUE,FALSE,TRUE,1,0,1
1,-1.3954776,TRUE,FALSE,TRUE,1,0,1
1,0.055825454,TRUE,TRUE,TRUE,0,0,0
-1,-1.0458459,FALSE,FALSE,TRUE,0,1,0
1,-3.9285854,TRUE,FALSE,TRUE,1,0,1
-1,-1.218658,FALSE,FALSE,TRUE,0,1,0
1,0.47682477,TRUE,TRUE,TRUE,0,0,0
1,0.14103838,TRUE,TRUE,TRUE,0,0,0
-1,0.75335862,FALSE,TRUE,TRUE,0,0,1
-1,0.9137803,FALSE,TRUE,TRUE,0,0,1
1,-0.7359393,TRUE,FALSE,TRUE,1,0,1
-1,-0.54646995,FALSE,FALSE,TRUE,0,1,0
1,-1.3504873,TRUE,FALSE,TRUE,1,0,1
1,-1.1782596,TRUE,FALSE,TRUE,1,0,1
-1,0.48986884,FALSE,TRUE,TRUE,0,0,1
-1,-1.2146065,FALSE,FALSE,TRUE,0,1,0
1,0.11611289,TRUE,TRUE,TRUE,0,0,0
-1,-0.73956573,FALSE,FALSE,TRUE,0,1,0
1,0.67822761,TRUE,TRUE,TRUE,0,0,0
1,0.72820697,TRUE,TRUE,TRUE,0,0,0
