actual,assigned
1.0,1.0257338
1.0,-1.2896723
1.0,0.79492376
-1.0,0.031477087
1.0,0.8609516
1.0,0.99256439
1.0,1.0310209
-1.0,1.0218805
-1.0,1.1207347
1.0,0.94611977
1.0,0.85356134
1.0,0.94245377
-1.0,0.26683971
1.0,0.84237274
-1.0,0.96210809
1.0,0.97984036
1.0,0.87180065
1.0,0.86235862
1.0,1.0539481
1.0,0.78705709
-1.0,0.63868036
-1.0,0.66556793
-1.0,0.69548877
-1.0,1.0630021
-1.0,0.97269706
1.0,0.87894767
-1.0,0.99499017
1.0,0.89555601
1.0,0.96521001
-1.0,0.84389533
-1.0,0.69369224
1.0,0.82670348
1.0,0.97089556
-1.0,0.89896717
1.0,0.74525354
1.0,1.0148322
1.0,0.36638261
1.0,1.0119731
1.0,1.0265059
1.0,0.74240587
-1.0,0.97765661
1.0,0.63270631
1.0,0.90371942
1.0,1.0398336
1.0,0.47842177
1.0,0.99070523
1.0,0.22636755
1.0,0.98549933
-1.0,0.98715318
1.0,1.2192099
-1.0,0.97273561
-1.0,1.0522792
1.0,1.009131
1.0,1.0751719
1.0,0.87166349
1.0,1.0121498
1.0,1.102625
-1.0,0.93666018
-1.0,0.9933212
1.0,1.0031265
1.0,1.0013713
1.0,1.0519226
-1.0,0.82273362
-1.0,0.81836567
-1.0,0.9584003
1.0,0.49695749
1.0,1.0276943
-1.0,0.99955902
1.0,0.97399309
1.0,1.0600875
1.0,1.0169189
1.0,0.9866285
-1.0,0.98651804
-1.0,0.51272289
-1.0,0.70805194
1.0,-1.6006954
1.0,1.0156381
-1.0,0.99159778
1.0,0.51891276
1.0,1.0627331
1.0,1.1243178
1.0,0.97899129
-1.0,1.0468471
1.0,0.90749575
1.0,0.02824641
-1.0,1.0690774
1.0,0.62810733
-1.0,0.97650503
1.0,0.73732651
1.0,1.0310821
-1.0,0.78115719
1.0,0.94553317
-1.0,0.85623742
-1.0,1.0561313
-1.0,0.91392655
-1.0,-0.82335878
1.0,0.51656416
1.0,0.75449183
1.0,0.94126822
1.0,0.8967824
-1.0,0.84157024
-1.0,0.76115603
1.0,1.0043441
1.0,1.0925642
-1.0,0.98404673
1.0,1.0456104
-1.0,0.81113176
1.0,0.89818217
-1.0,0.9846311
-1.0,0.85313654
1.0,0.94459324
1.0,0.97022919
-1.0,0.93138686
1.0,0.78674578
1.0,0.95261127
1.0,0.66689882
1.0,0.93598138
1.0,1.0948523
1.0,0.94006368
1.0,0.99353626
-1.0,0.83295606
1.0,0.77411148
-1.0,1.0337464
-1.0,0.99989837
-1.0,1.0504311
-1.0,1.0745518
1.0,0.66071656
1.0,-1.0407743
-1.0,0.65316933
1.0,0.94483641
-1.0,-0.6550267
1.0,1.0469204
1.0,1.0146321
1.0,0.9812172
1.0,0.99283548
-1.0,0.97733162
1.0,0.94864389
1.0,0.50084416
1.0,0.8340209
-1.0,0.80466851
-1.0,1.0405444
1.0,1.025642
1.0,0.99033081
-1.0,0.84847576
1.0,1.0302454
1.0,0.95657535
-1.0,-0.25616506
1.0,1.0478763
1.0,0.96862593
1.0,0.79785489
1.0,1.0048619
-1.0,0.60298793
1.0,0.99363728
1.0,1.0752489
1.0,0.87976649
1.0,-0.17763308
-1.0,0.71732269
1.0,0.91599707
-1.0,1.0677758
-1.0,0.95730381
1.0,0.92527749
1.0,0.98880848
1.0,1.04743
1.0,0.79964872
1.0,1.0684763
1.0,0.17835694
1.0,0.87726959
-1.0,1.0915836
1.0,1.0479195
1.0,0.52455809
1.0,0.91138678
-1.0,1.1078163
1.0,0.98663446
1.0,1.0706892
1.0,-0.014559584
-1.0,0.9484783
1.0,0.73347674
1.0,1.0905724
1.0,0.83384425
-1.0,0.99999072
-1.0,1.0771418
1.0,0.33390497
1.0,0.8536924
-1.0,0.99932201
1.0,0.76757222
1.0,1.051683
1.0,0.86065659
1.0,0.89193897
1.0,1.0709321
-1.0,0.62475473
1.0,0.75423346
-1.0,0.90201127
1.0,1.0650416
1.0,0.93412485
-1.0,1.0013156
1.0,0.45190128
1.0,-1.1212893
-1.0,0.83416404
-1.0,0.98319595
1.0,1.0405598
-1.0,0.64820302
1.0,0.96545738
1.0,0.84195927
-1.0,0.98464963
1.0,0.97829832
1.0,-0.064951823
1.0,0.88117737
1.0,1.0105196
1.0,1.1253194
1.0,0.81265927
1.0,-0.63054773
-1.0,0.98780812
1.0,0.93133361
1.0,1.0027884
1.0,0.90655726
1.0,0.87585953
1.0,0.59327634
-1.0,1.0417957
1.0,1.1143338
-1.0,0.53081532
1.0,0.96442244
1.0,0.93926284
1.0,1.050147
1.0,1.0304396
1.0,1.0009607
1.0,1.0686896
1.0,0.70558939
1.0,1.0940699
1.0,0.063768218
1.0,0.86199717
-1.0,1.0611048
1.0,1.0372221
-1.0,0.68988684
-1.0,0.96110591
1.0,1.0557552
-1.0,0.4326183
1.0,0.97553792
1.0,1.0474681
1.0,1.0181411
-1.0,0.92503194
1.0,1.0256223
-1.0,0.96453128
-1.0,0.97946971
-1.0,0.32799327
1.0,-1.4819206
1.0,-0.61058844
1.0,0.90992398
-1.0,0.92742218
1.0,0.9930962
1.0,1.0485436
-1.0,0.82469386
1.0,0.22662246
1.0,1.0577699
-1.0,1.0118052
1.0,1.016517
1.0,1.0373244
1.0,1.0425378
-1.0,1.0307714
1.0,1.0580487
1.0,1.0437835
-1.0,0.93847837
1.0,0.45718815
1.0,0.81249258
-1.0,1.0827087
-1.0,0.81697259
1.0,0.9240702
1.0,0.69786992
1.0,0.91516482
1.0,-0.42891017
1.0,0.95190628
-1.0,0.96304025
1.0,0.81273975
1.0,0.99172788
1.0,0.93628188
-1.0,0.17853722
1.0,1.0539781
-1.0,0.88940505
1.0,1.0030219
1.0,0.91411397
1.0,0.97706736
1.0,1.0036102
-1.0,1.0272621
1.0,-0.58708612
-1.0,0.34823044
-1.0,0.79784865
1.0,0.93606626
1.0,0.95513955
1.0,1.0545369
1.0,0.9278825
1.0,0.89688682
-1.0,0.99494755
1.0,0.9322252
-1.0,0.77822844
1.0,0.92018703
1.0,1.0308236
-1.0,1.0661726
-1.0,0.84614989
1.0,1.0258929
-1.0,1.0205419
1.0,1.0070068
1.0,0.82492788
-1.0,1.0220933
-1.0,1.1574471
1.0,1.0077747
-1.0,0.95108451
1.0,-0.42323078
1.0,1.0374138
1.0,0.94436494
1.0,1.0096613
1.0,1.0265667
1.0,0.97283485
-1.0,0.88195193
1.0,0.84216758
1.0,0.65672777
1.0,1.0698809
1.0,0.96486064
1.0,0.55874398
1.0,0.94050854
1.0,0.98952673
-1.0,1.1192041
1.0,1.0289574
1.0,0.40954158
1.0,0.84594098
1.0,0.86331515
1.0,1.010249
1.0,0.9887
1.0,1.0286075
-1.0,0.83448453
-1.0,0.61018298
-1.0,1.0290108
1.0,0.95701786
-1.0,0.85409663
1.0,0.96606274
-1.0,0.75781678
1.0,0.99089918
1.0,-0.60166909
1.0,0.67536837
1.0,1.0374491
1.0,0.98706663
1.0,0.9995985
1.0,1.0622847
1.0,1.0719063
1.0,-0.38515423
-1.0,-0.42546256
1.0,0.93510207
-1.0,1.3742989
-1.0,1.0605511
1.0,1.008073
-1.0,1.0007002
1.0,1.1949886
1.0,-0.25826855
1.0,-0.67657828
1.0,0.97516089
1.0,0.96004945
1.0,-0.2195972
1.0,1.1134948
1.0,0.77923886
1.0,0.46372735
1.0,0.50102998
1.0,0.96022919
1.0,0.97889491
1.0,0.85863883
1.0,1.0675763
1.0,0.9392658
1.0,0.70498759
1.0,1.0405801
1.0,1.0034424
-1.0,0.94691251
1.0,0.94826864
1.0,1.1128177
-1.0,1.03677
1.0,1.0344392
-1.0,0.99167301
-1.0,1.0446001
-1.0,1.0099855
1.0,1.0444175
-1.0,1.0084876
-1.0,0.91538762
-1.0,-0.92787844
1.0,1.0034536
-1.0,0.81488413
-1.0,0.869857
1.0,1.0649597
1.0,0.70960736
1.0,1.0448997
-1.0,0.97703144
1.0,0.99463731
-1.0,1.0167077
1.0,0.48856284
1.0,0.93502779
1.0,1.1023193
-1.0,0.99596386
1.0,1.037151
-1.0,0.64118821
1.0,0.77582222
1.0,0.96072067
-1.0,1.0392575
1.0,0.96446261
1.0,1.0220953
-1.0,0.91632518
-1.0,1.0584207
-1.0,0.8752755
-1.0,0.74490219
-1.0,0.99698088
1.0,1.0496901
1.0,0.95585913
-1.0,0.68317082
-1.0,1.0185458
1.0,1.0402381
1.0,0.98120003
-1.0,0.35547752
1.0,0.8764767
-1.0,0.96992296
1.0,1.014368
1.0,1.0377814
-1.0,1.0666459
1.0,1.0552397
1.0,0.98526462
1.0,1.0827412
1.0,0.9701285
-1.0,0.87941365
-1.0,1.0214521
-1.0,1.0321524
1.0,0.87221033
1.0,0.75281149
1.0,0.85019301
1.0,1.0182805
1.0,1.020285
1.0,0.65516542
1.0,1.0852574
-1.0,0.89498453
1.0,1.018713
1.0,0.96525792
1.0,0.79398616
-1.0,0.5846153
1.0,1.033416
1.0,0.62054028
-1.0,0.86604128
1.0,0.97499179
-1.0,0.97047277
1.0,0.94030478
1.0,1.009148
-1.0,0.88572905
1.0,1.0183062
1.0,0.96383692
1.0,-0.6704192
1.0,0.91475181
1.0,1.0458356
-1.0,0.56777934
-1.0,1.0156275
1.0,1.6998479
1.0,0.9662504
-1.0,1.0575238
1.0,0.97737574
1.0,0.91717671
1.0,0.77537872
1.0,1.0180656
1.0,0.86568199
1.0,1.0159912
1.0,0.96146791
1.0,0.44685023
-1.0,1.0208738
1.0,0.46808831
1.0,1.0027878
1.0,-0.14233117
-1.0,1.013272
1.0,0.89751556
1.0,0.95466746
1.0,0.83031142
1.0,0.93958256
1.0,0.49363038
1.0,0.90258326
1.0,0.1665346
-1.0,1.0421614
-1.0,1.0364607
1.0,1.0588283
-1.0,0.7058528
1.0,0.59376902
1.0,0.74594403
1.0,0.97901893
-1.0,1.0324766
1.0,1.0558958
1.0,0.89247462
1.0,0.98920526
-1.0,1.0959036
1.0,0.88846197
1.0,1.061837
-1.0,0.07510051
-1.0,0.48451763
1.0,0.9690494
1.0,0.71354909
1.0,1.1801968
1.0,0.85769543
-1.0,0.91578939
1.0,1.0675766
1.0,1.0678638
-1.0,1.082772
-1.0,0.95332923
1.0,0.88675855
1.0,0.97416019
-1.0,0.53365435
-1.0,1.0793317
1.0,1.0263604
-1.0,0.92589517
-1.0,-0.60315425
1.0,-0.68283277
1.0,0.84766706
1.0,1.0601647
1.0,-0.64132117
1.0,-0.24216799
1.0,0.85718635
1.0,1.0087172
-1.0,0.8334764
-1.0,1.0475617
1.0,1.0661464
1.0,0.93433053
1.0,0.044140893
1.0,1.0250106
1.0,0.099883839
-1.0,1.0007398
1.0,0.72194463
1.0,0.90173538
1.0,0.9982199
1.0,0.92762104
1.0,0.87353586
1.0,1.0248201
1.0,1.0602964
1.0,0.10438281
1.0,1.050123
-1.0,1.0406133
-1.0,0.93465013
1.0,1.0254184
1.0,0.87517296
1.0,0.48289164
1.0,1.0138732
1.0,1.0100222
-1.0,1.104427
-1.0,0.89986211
1.0,0.93832873
1.0,0.93203277
-1.0,1.0059325
1.0,0.97092901
1.0,0.99065196
-1.0,0.48562298
1.0,1.0589652
1.0,0.74849437
1.0,1.0447743
1.0,0.96872269
1.0,0.96995482
1.0,1.0472635
1.0,0.79541902
1.0,1.1459481
-1.0,1.0225852
1.0,0.90618441
1.0,0.75079455
1.0,0.83762592
1.0,1.0028881
-1.0,0.97444065
1.0,0.98838753
1.0,0.96723268
1.0,1.2595446
-1.0,0.13419522
1.0,1.22873
-1.0,0.93935637
1.0,1.0888066
-1.0,0.96778803
1.0,0.97129851
1.0,1.0868425
1.0,0.67627282
1.0,0.88628903
1.0,1.0169966
1.0,-0.058768356
1.0,0.055007227
-1.0,0.99601175
1.0,0.9612935
1.0,0.81073256
1.0,0.53138638
1.0,0.56434038
1.0,1.0670781
1.0,0.72710051
1.0,1.0882962
1.0,0.93295102
1.0,-0.90508417
1.0,0.80049466
1.0,0.94893051
-1.0,1.0407647
-1.0,1.0105886
-1.0,0.70390611
1.0,1.0704174
-1.0,0.5884417
1.0,1.0377491
-1.0,1.0238467
1.0,1.0136196
1.0,0.99363463
-1.0,1.0019563
1.0,0.94226093
1.0,1.067546
1.0,1.1078792
1.0,0.88755015
1.0,0.7813932
1.0,1.0382417
-1.0,0.33068685
1.0,1.0932288
-1.0,0.98373019
-1.0,0.83465735
-1.0,0.83313718
1.0,1.0100512
1.0,0.99250775
1.0,0.77846124
1.0,0.99568075
-1.0,0.97784187
-1.0,-0.53838024
-1.0,0.22617255
1.0,0.88125716
1.0,0.8366395
1.0,0.79182952
-1.0,1.0574981
1.0,0.91915367
1.0,0.71347496
-1.0,0.93873388
1.0,0.90702598
1.0,0.9501388
1.0,0.38206523
1.0,1.0264756
-1.0,0.76265782
1.0,1.0865594
1.0,0.95356236
-1.0,0.46131342
1.0,0.84011884
1.0,1.0114391
1.0,0.93936085
1.0,0.92627187
-1.0,0.87751259
1.0,0.70245997
1.0,0.6748767
1.0,1.0230869
1.0,0.97103138
-1.0,0.2225953
1.0,0.060942353
1.0,1.0882882
-1.0,-0.42641323
1.0,-1.2729677
1.0,0.75234166
1.0,1.0107454
1.0,0.26411991
1.0,0.96364475
-1.0,0.5521707
-1.0,0.98638533
1.0,1.0571303
-1.0,0.87545432
-1.0,0.9815023
1.0,1.0387487
1.0,1.0158789
1.0,0.84955593
1.0,1.129937
1.0,1.0096911
-1.0,0.98307038
-1.0,1.0047482
1.0,1.0368528
1.0,0.54302382
1.0,1.068455
1.0,0.51506763
1.0,0.93867617
1.0,0.9885971
1.0,0.83181738
1.0,-0.57906028
1.0,0.95422146
1.0,0.96683246
1.0,0.6689208
1.0,0.60769485
-1.0,-0.94834856
1.0,0.51109138
1.0,0.91056661
1.0,0.97614901
1.0,0.74862504
1.0,0.98275093
1.0,1.0714502
-1.0,0.92656395
1.0,0.77571801
1.0,-0.12345534
1.0,0.90953722
1.0,0.99361037
-1.0,1.0563921
1.0,0.99487615
-1.0,0.89803789
-1.0,0.8550506
1.0,1.0377714
1.0,-0.61672193
-1.0,1.0119488
1.0,1.0213979
1.0,0.50973947
1.0,0.066376364
-1.0,0.99785441
1.0,0.61225007
1.0,0.60620988
1.0,0.9675807
-1.0,0.83623865
-1.0,1.0448417
1.0,-1.5255355
1.0,0.92569281
1.0,0.047486598
1.0,1.0595813
-1.0,1.1089692
1.0,0.97682878
-1.0,0.27850747
-1.0,0.89744693
1.0,0.7278469
1.0,0.91887016
-1.0,1.0449954
-1.0,0.99534368
-1.0,0.5180693
1.0,0.9132426
-1.0,0.32715908
1.0,0.89195751
1.0,1.0429493
1.0,0.89985883
1.0,0.043532916
1.0,0.80991261
1.0,1.0012265
1.0,-0.89925279
1.0,0.96772266
1.0,1.0249461
1.0,0.57984728
1.0,0.69650331
1.0,1.0550723
-1.0,0.9806266
1.0,1.045122
-1.0,1.0241529
1.0,0.91536482
1.0,-0.92860554
1.0,0.86526048
-1.0,1.0786111
-1.0,0.5066358
1.0,1.0237817
1.0,0.96672611
1.0,1.0831243
-1.0,0.98690483
1.0,1.0134796
1.0,1.0626744
1.0,1.0613637
1.0,0.54348059
1.0,0.97034832
1.0,0.63285972
1.0,0.78531105
1.0,1.0135648
1.0,0.65548064
-1.0,0.6893139
1.0,0.0037408304
1.0,0.99407486
1.0,-0.60940386
-1.0,1.0354695
-1.0,0.98240588
-1.0,0.74410051
1.0,0.98993311
-1.0,0.99070654
1.0,0.94184712
1.0,1.0481047
-1.0,-0.22031424
1.0,0.99909365
1.0,1.0476034
1.0,0.95298519
-1.0,1.0337813
1.0,0.85896812
1.0,0.51786176
1.0,0.835518
1.0,1.250542
1.0,0.56341494
-1.0,1.0210854
1.0,1.1317619
1.0,0.91430814
1.0,0.9452001
-1.0,0.70258927
1.0,1.0605712
1.0,1.0712125
1.0,1.0655618
-1.0,1.0644498
1.0,0.87169039
1.0,0.94625423
-1.0,0.90582057
1.0,-1.0333155
1.0,0.72083023
-1.0,1.0436996
1.0,1.0003757
-1.0,0.96168808
1.0,0.9684314
1.0,0.98390831
1.0,1.1068374
-1.0,0.2954205
1.0,0.84515996
1.0,0.86211917
1.0,1.1033698
1.0,0.7180306
1.0,1.0357588
1.0,0.85391022
1.0,1.0735119
1.0,1.0499994
1.0,1.0991637
-1.0,0.87074777
1.0,1.014599
-1.0,0.84460762
1.0,1.0364244
-1.0,1.0211465
1.0,0.72503732
1.0,0.90425254
-1.0,0.57848733
1.0,1.0163719
1.0,0.68429543
1.0,1.1011977
1.0,0.89028679
1.0,1.1033957
-1.0,0.50950079
1.0,0.95896667
1.0,1.0083899
-1.0,1.0177372
1.0,1.0902385
-1.0,0.61227388
-1.0,0.81169683
1.0,0.72777009
-1.0,1.0415803
1.0,0.27117957
-1.0,1.0068404
1.0,0.96940682
1.0,0.4498348
1.0,0.97299751
1.0,1.0067381
1.0,1.013821
-1.0,1.1056341
-1.0,1.1916823
-1.0,0.75604418
1.0,1.1856828
-1.0,0.67327798
-1.0,0.87215535
-1.0,1.0006776
1.0,0.91741648
1.0,-1.3293902
1.0,0.90565178
1.0,1.0108277
1.0,0.95882018
1.0,1.0541881
1.0,0.50942204
1.0,1.0871737
1.0,0.96420889
-1.0,0.6420487
-1.0,0.77864186
1.0,1.04876
1.0,0.98769993
1.0,0.50366792
-1.0,1.0290932
-1.0,0.9847489
-1.0,0.99882228
-1.0,0.59168062
1.0,0.93221313
-1.0,1.0649184
1.0,0.78165357
1.0,0.79259435
1.0,1.020381
1.0,0.77494443
1.0,1.0466979
1.0,0.93876302
1.0,0.64367132
1.0,0.71282092
1.0,1.0283929
1.0,0.98591025
1.0,0.9525264
-1.0,0.85582476
1.0,0.77441319
1.0,0.99453132
1.0,1.0274901
1.0,0.98011197
1.0,-0.60724016
1.0,0.7814228
1.0,1.1028246
-1.0,1.0381265
1.0,0.84876328
-1.0,1.1178152
-1.0,1.0396952
1.0,0.92289597
1.0,0.91056681
1.0,0.97968993
1.0,1.0536945
-1.0,1.0067707
1.0,0.96329863
1.0,0.97745836
-1.0,0.88403562
-1.0,0.90745303
1.0,1.1009584
-1.0,1.0020656
1.0,0.94057653
1.0,0.87631615
1.0,1.212781
1.0,1.0663101
1.0,0.62996435
1.0,1.0014935
1.0,1.0253167
1.0,1.0228951
1.0,0.65848922
1.0,0.50599646
1.0,0.99474525
-1.0,0.52453306
1.0,1.0303772
-1.0,0.9798001
1.0,1.0866325
1.0,1.0434313
1.0,1.0296092
-1.0,1.0397135
-1.0,1.086746
1.0,1.1895216
1.0,0.92974717
-1.0,1.1341016
-1.0,0.93873083
1.0,1.0144828
1.0,1.078972
1.0,-0.47013943
-1.0,0.30382789
-1.0,1.0142685
-1.0,0.61202088
1.0,1.1020318
1.0,1.026895
-1.0,1.0933836
1.0,-1.2848953
1.0,0.81336371
1.0,0.68434917
-1.0,1.0392768
1.0,1.00923
1.0,1.0369607
-1.0,0.9998026
-1.0,1.0259561
1.0,1.0160546
1.0,1.0193607
-1.0,0.66040589
1.0,0.71391067
1.0,-0.90135365
1.0,1.0145631
1.0,1.0005267
-1.0,1.0323839
1.0,1.0072161
1.0,0.93288135
-1.0,1.008752
1.0,1.0075512
1.0,0.43477555
-1.0,0.9999684
1.0,-0.054023679
-1.0,0.91970791
1.0,0.92517591
1.0,0.94255834
1.0,1.0054534
1.0,0.76540704
1.0,-1.5743336
1.0,0.45791078
-1.0,1.0614521
1.0,0.89137345
1.0,1.0514822
1.0,0.96423376
1.0,-1.1761072
-1.0,1.0365298
1.0,1.0064434
1.0,1.0579337
1.0,1.0301362
1.0,0.64272979
1.0,0.90219575
-1.0,0.99081774
-1.0,-0.01094353
1.0,1.0021037
1.0,0.5356701
-1.0,0.63626808
1.0,0.7570428
1.0,-0.60211949
-1.0,1.0500772
1.0,0.98404964
-1.0,0.46401807
1.0,1.0706026
1.0,0.95395314
1.0,1.0470231
-1.0,0.82598234
1.0,1.0029495
1.0,0.9435066
1.0,1.0967585
-1.0,1.0074714
1.0,0.96151881
1.0,-1.9021268
1.0,1.0395207
1.0,0.9562405
1.0,1.0106832
1.0,0.9498526
-1.0,0.297057
1.0,0.97889532
1.0,0.71207896
1.0,0.058213715
-1.0,1.0742774
1.0,0.4606321
-1.0,1.066499
-1.0,0.94721686
1.0,1.0292877
-1.0,0.97529618
1.0,1.0169521
-1.0,1.1045715
1.0,0.66990654
1.0,0.8790572
1.0,1.0563405
1.0,0.87644564
-1.0,0.98289613
1.0,1.0018795
1.0,0.6712404
-1.0,0.72307293
1.0,0.76019382
-1.0,0.83115057
1.0,0.046263498
-1.0,0.98373316
1.0,0.72002692
1.0,1.0165777
-1.0,0.8201833
-1.0,0.58481783
1.0,0.6937329
1.0,1.0167158
-1.0,1.1108525
1.0,0.94296944
1.0,0.72471336
1.0,0.97514683
1.0,0.93949471
-1.0,1.0806584
-1.0,0.9464249
-1.0,1.0279748
-1.0,0.96271335
1.0,1.0416984
1.0,0.63690475
-1.0,1.0573232
-1.0,0.40319241
-1.0,0.86647371
1.0,1.000781
1.0,0.90553862
-1.0,1.007902
-1.0,1.0337638
-1.0,0.6283865
1.0,0.73634073
1.0,1.0432147
1.0,0.83189596
-1.0,0.58106764
-1.0,0.91045374
-1.0,0.63816257
1.0,0.59636326
1.0,0.85901722
1.0,1.0025876
1.0,0.64365749
-1.0,1.0494301
1.0,0.77619377
1.0,1.0326793
1.0,1.0163373
-1.0,1.037979
1.0,0.94300644
-1.0,1.1337456
1.0,0.97722772
1.0,0.9622001
1.0,0.98370925
-1.0,0.96853066
1.0,0.9906711
-1.0,0.92851418
1.0,0.88260537
1.0,0.83651999
1.0,0.86499039
1.0,0.98856773
-1.0,0.89835893
1.0,-0.19548853
1.0,0.87771005
1.0,1.0093325
1.0,0.55763124
1.0,1.005381
1.0,-0.59841242
1.0,0.98668817
-1.0,0.92480125
1.0,1.0221993
1.0,0.74406987
-1.0,0.48628652
-1.0,1.0630115
1.0,1.0769749
1.0,1.0772835
1.0,1.0050948
1.0,0.18266174
1.0,1.0284014
-1.0,0.88756493
-1.0,0.93139061
1.0,1.007232
-1.0,0.99641209
-1.0,1.0801097
-1.0,0.99622762
1.0,1.063627
1.0,0.99793491
-1.0,-1.6732199
1.0,1.0444806
1.0,0.95934442
1.0,0.56712959
-1.0,1.0703284
1.0,0.7254811
1.0,1.0408817
1.0,0.63431611
-1.0,0.97028697
-1.0,1.0261638
1.0,0.91539364
-1.0,1.0226443
1.0,1.0891325
1.0,1.0122297
1.0,0.87644081
1.0,0.87934249
1.0,0.87303635
1.0,0.86237454
1.0,0.98692079
1.0,0.9663295
-1.0,0.75987136
1.0,0.62923899
1.0,-1.2610304
1.0,0.91943258
1.0,1.018852
1.0,1.0837989
1.0,0.86004706
1.0,0.71432063
-1.0,0.49328636
1.0,1.0598694
1.0,0.88757126
1.0,0.55764764
1.0,1.0913941
1.0,0.69485552
-1.0,1.0911113
1.0,0.98401962
-1.0,0.79028649
1.0,1.1201763
-1.0,1.0925233
-1.0,0.89026901
1.0,0.94676053
1.0,0.50319337
1.0,0.97547885
1.0,0.87158994
1.0,1.0100128
1.0,0.77134014
1.0,1.0481502
1.0,1.0254031
1.0,1.0134586
1.0,0.63697305
-1.0,0.86266996
1.0,-2.0482321
1.0,1.0297005
1.0,0.54148768
-1.0,1.0027091
-1.0,0.94737388
-1.0,1.0402942
1.0,1.0445732
1.0,-0.043484771
-1.0,0.92231374
-1.0,0.86895687
1.0,0.65421286
1.0,0.67440896
-1.0,1.0156549
-1.0,0.98051839
-1.0,0.90144582
1.0,1.0158605
1.0,0.98727977
1.0,1.3007823
-1.0,0.17378281
-1.0,0.81289218
-1.0,0.77824918
1.0,0.65752756
1.0,0.84543318
1.0,1.1157563
1.0,1.062341
1.0,-0.20876659
-1.0,0.89605223
-1.0,-0.09665347
-1.0,1.0623875
1.0,1.12204
1.0,0.88073819
-1.0,0.90189787
1.0,1.0250296
1.0,0.96117177
-1.0,0.67533456
-1.0,0.9072281
1.0,0.88878062
1.0,0.98464075
1.0,1.0641391
1.0,1.0133636
-1.0,0.49527498
1.0,0.98085553
1.0,0.9917978
1.0,1.0704087
1.0,1.0664702
-1.0,0.9910528
